Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.14971,-0.27802,0.15406,0,0,0,1.232,0.028709,1.0903E-17,1.2318E-17,0.028709,3.8324E-18,0.048069,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.8,0.81961,0.93333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
topcover,0.2913,-0.075,-0.31528,0,0,0,1.3108,0.013383,-1.2052E-20,-1.5056E-18,0.026761,0,0.013383,0,0,0,0,0,0,package://robot/meshes/topcover.STL,0,0,0.5,0.35,0,0,0,0,0,0,package://robot/meshes/topcover.STL,,Part8-2;Part8-1,Origin_cover,,topcover,fixed,-0.14159,-0.5933,0.22906,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
camerapole,0.2536,0.01,-0.0658,0,0,0,0.16,1.0667E-05,-1.2787E-20,1.0994E-19,0.0021387,8.5389E-23,0.0021387,0,0,0,0,0,0,package://robot/meshes/camerapole.STL,192,192,192,1,0,0,0,0,0,0,package://robot/meshes/camerapole.STL,,Part7-1,Origin_camerapole,,camerapole,fixed,0.30971,-0.34384,0.68236,1.5708,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
camera,0.0017627,-0.025373,-0.024805,0,0,0,0.056475,1.2826E-05,4.6112E-11,-2.5744E-11,1.5962E-05,-1.0096E-06,1.0085E-05,0,0,0,0,0,0,package://robot/meshes/camera.STL,0,0,0,1,0,0,0,0,0,0,package://robot/meshes/camera.STL,,Webcam..STEP-1/Upp.STEP-1;Webcam..STEP-1/Main Revolve.STEP-1;Webcam..STEP-1/Bott.STEP-1;Webcam..STEP-1/Bottom Revolve.STEP-1;Webcam..STEP-1/Upper Revolve.STEP-1,Origin_camera,Axis_camera,camera,continuous,0,0.0200000000000002,-0.0657999999999869,1.47548340501541,1.5707963267949,0,camerapole,0,0.99546116114247,-0.0951686747668852,,,,,,,,,,,,
motorclamp1,0.009919,-0.0070219,-0.0059495,0,0,0,0.017347,2.8855E-06,3.175E-07,-1.4271E-22,9.433E-06,-2.2744E-22,1.1839E-05,0,0,0,0,0,0,package://robot/meshes/motorclamp1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot/meshes/motorclamp1.STL,,Part4-1,Origin_motorclamp1,Axis_motorclamp1,motorclamp1,fixed,0.0835361437494156,-0.452618990455206,0.121441134925834,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
motor1,0.0011314641560948,6.70085677166032E-05,-0.0144620677025696,0,0,0,0.0622953735077123,1.00827961176307E-05,3.17637355220363E-22,3.5237894094759E-22,1.00295314289269E-05,1.38818387636653E-07,1.02711944162877E-05,0,0,0,0,0,0,package://robot/meshes/motor1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/motor1.STL,,Greartisan - ZGB37RG148i.ipt-3,Origin_motor1,Axis_motor1,motor1,continuous,0.01,0,0,0,0,-0.061731,motorclamp1,0,0,1,,,,,,,,,,,,
wheel1,4.1633E-17,1.249E-16,0.0125,0,0,0,3.0701,0.0094347,2.7105E-18,-2.0382E-19,0.0094347,1.3375E-19,0.018654,0,0,0,0,0,0,package://robot/meshes/wheel1.STL,0,0,0,1,0,0,0,0,0,0,package://robot/meshes/wheel1.STL,,wheel_200mm-1,Origin_wheel1`,Axis_wheel1`,wheel1`,revolute,0.00113146415609412,-0.00681576240594288,0.019200504127415,0,0,-0.0466862389972134,motor1,0,0,1,0,0,0,0,,,,,,,,
motorclamp2,0.00991903249259808,-0.00702191432039451,-0.00594949587258495,0,0,0,0.0173472817028446,2.88547454674582E-06,3.1750180352986E-07,-1.23512494461037E-22,9.43304633892377E-06,-5.72978926409721E-22,1.18386136024184E-05,0,0,0,0,0,0,package://robot/meshes/motorclamp2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/motorclamp2.STL,,Part4-2,Origin_motorclamp2,,motorclamp2,fixed,0.083573,-0.11532,0.12144,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
motor2,-0.00114091742437558,-5.59543664885309E-06,-0.00256307595739959,0,0,0,0.0622953735077122,1.00827961176307E-05,5.29395592033938E-23,3.77918142360165E-22,1.00295314289269E-05,1.38818387636653E-07,1.02711944162877E-05,0,0,0,0,0,0,package://robot/meshes/motor2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/motor2.STL,,Greartisan - ZGB37RG148i.ipt-4,Origin_motor2,Axis_motor2,motor2,continuous,0.01,0,0,3.14159265358979,0,-3.13944414528986,motorclamp2,0,0,1,,,,,,,,,,,,
wheel2,5.5511E-17,8.3267E-17,-0.0125,0,0,0,3.0701,0.0094347,2.9002E-18,-2.1593E-19,0.0094347,1.3138E-19,0.018654,0,0,0,0,0,0,package://robot/meshes/wheel2.STL,0,0,0,1,0,0,0,0,0,0,package://robot/meshes/wheel2.STL,,wheel_200mm-2,Origin_wheel2,Axis_wheel2,wheel2,revolute,-0.00114091742437562,-0.00688836641030763,0.030849495872585,3.14159265358979,0,3.09663167863098,motor2,0,0,1,0,0,0,0,,,,,,,,
castorwheel,0.016213,0.020589,-3.5773E-05,0,0,0,0.047654,9.6734E-06,4.687E-07,6.9494E-10,1.1737E-05,-7.8849E-10,1.3564E-05,0,0,0,0,0,0,package://robot/meshes/castorwheel.STL,0,0,0,1,0,0,0,0,0,0,package://robot/meshes/castorwheel.STL,,JDPE 0501 1001 P-1,Origin_castorwheel,,castorwheel,fixed,0.31471,-0.27802,0.027055,1.5708,0,0.00093269,base_link,0,0,0,0,0,0,0,,,,,,,,
sidecover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://robot/meshes/sidecover.STL,1,1,1,1,0,0,0,0,0,0,package://robot/meshes/sidecover.STL,,Part3-2;Part5-3;Part5-2;Part5-4,Origin_sidecover,Axis_sidecover,sidecover,fixed,0.32971327534043,-0.463019494582621,0.349983790955112,3.14159265358979,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
